id,image,kind,name
520,,곡물,현미
521,,조미료 및 향신료,엿기름
522,,조미료 및 향신료,불닭소스
523,,해산물 및 해조류,조갯살
524,,기타,베이크드빈스
525,,육류,소고기 안심
526,,조미료 및 향신료,육수팩
527,,기타,김밥용 단무지
528,,해산물 및 해조류,미더덕
529,,조미료 및 향신료,정향
530,,조미료 및 향신료,민트
531,,기타,호떡믹스
532,,채소,풋마늘
533,,유제품,그라나파다노치즈
534,,조미료 및 향신료,혼다시
535,,기타,크래커
536,,유제품,마스카포네치즈
537,,조미료 및 향신료,양파청
538,,기타,체더치즈
539,,조미료 및 향신료,쌀엿
540,,과일,망고
541,,채소,비름나물
542,,채소,딜
543,,조미료 및 향신료,볶은소금
544,,기타,메밀가루
545,,채소,고구마순
546,,기타,두부면
547,,조미료 및 향신료,바베큐소스
548,,해산물 및 해조류,동태포
549,,조미료 및 향신료,와인
550,,조미료 및 향신료,양파가루
551,,기타,동그랑땡
552,,기타,소고기 샤브샤브용
553,,기타,초코시럽
554,,육류,소고기 부채살
555,,채소,방아잎
556,,해산물 및 해조류,조기
557,,기타,실곤약
558,,기타,옥수수가루
559,,조미료 및 향신료,매실즙
560,,기타,단호박가루
561,,기타,코코넛가루
562,,해산물 및 해조류,황태머리
563,,절임 및 장아찌,갓김치
564,,해산물 및 해조류,쥐포
565,,기타,카스테라
566,,기타,푸실리
567,,채소,허브
568,,기타,잼
569,,콩류 및 견과류,콩
570,,기타,초코펜
571,,해산물 및 해조류,반건조오징어
572,,곡물,밀가루풀
573,,유제품,마가린
574,,조미료 및 향신료,오리엔탈드레싱
575,,기타,치아바타
576,,조미료 및 향신료,레몬제스트
577,,기타,막걸리
578,,채소,고춧잎
579,,과일,청포도
580,,해산물 및 해조류,조개
581,,기타,불닭볶음면
582,,육류,다짐육
583,,채소,갓
584,,해산물 및 해조류,물미역
585,,기타,럼
586,,기타,꽃빵
587,,기타,쑥가루
588,,기타,물전분
589,,해산물 및 해조류,오징어실채
590,,절임 및 장아찌,파김치
591,,채소,로메인상추
592,,과일,천도복숭아
593,,육류,등심
594,,해산물 및 해조류,멍게
595,,해산물 및 해조류,대구
596,,기타,누텔라
597,,기타,조랭이떡
598,,채소,유채나물
599,,과일,홍시
600,,기타,핫도그빵
601,,조미료 및 향신료,크림소스
602,,기타,잣가루
603,,채소,머위
604,,채소,쥐똥고추
605,,절임 및 장아찌,총각김치
606,,기타,말차가루
607,,기타,인절미
608,,기타,바닐라향
609,,콩류 및 견과류,땅콩가루
610,,육류,족발
611,,기타,마시멜로우
612,,기타,햄버거빵
613,,기타,홀토마토
614,,채소,샬롯
615,,조미료 및 향신료,멸치다시다
616,,기타,면
617,,기타,블루베리잼
618,,기타,납작당면
619,,기타,넛맥
620,,콩류 및 견과류,강낭콩
621,,콩류 및 견과류,통아몬드
622,,기타,한천가루
623,,과일,냉동딸기
624,,채소,머위대
625,,해산물 및 해조류,굴비
626,,기타,중면
627,,곡물,강력쌀가루
628,,과일,산딸기
629,,기타,마른김
630,,기타,오렌지주스
631,,기타,김밥
632,,기타,도토리가루
633,,조미료 및 향신료,소스
634,,육류,다진고기
635,,해산물 및 해조류,지리멸치
636,,기타,당근라페
637,,육류,닭발
638,,육류,항정살
639,,육류,치킨너겟
640,,절임 및 장아찌,백김치
641,,기타,호밀빵
642,,기타,그래놀라
643,,채소,섬초
644,,콩류 및 견과류,비지
645,,콩류 및 견과류,생땅콩
646,,조미료 및 향신료,분당
647,,콩류 및 견과류,렌틸콩
648,,기타,사과잼
649,,절임 및 장아찌,볶음김치
650,,해산물 및 해조류,감태
651,,유제품,브리치즈
652,,조미료 및 향신료,다싯물
653,,채소,콜리플라워
654,,육류,돼지 앞다리살
655,,절임 및 장아찌,동치미 무
656,,육류,돼지고기 뒷다리살
657,,해산물 및 해조류,소라
658,,채소,명이나물
659,,기타,비빔면
660,,채소,토란
661,,채소,고기느타리버섯
662,,채소,당귀
663,,조미료 및 향신료,참소스
664,,채소,방울양배추
665,,육류,닭똥집
666,,곡물,귀리
667,,곡물,수수
668,,조미료 및 향신료,오미자청
669,,조미료 및 향신료,마라소스
670,,콩류 및 견과류,치아씨드
671,,기타,중화면
672,,채소,고춧씨
673,,채소,총각무
674,,기타,날콩가루
675,,기타,파래김
676,,콩류 및 견과류,마카다미아
677,,육류,돼지고기 불고기용
678,,기타,쫄면사리
679,,육류,미트볼
680,,기타,쌍화탕
681,,해산물 및 해조류,크레미
682,,기타,통식빵
683,,기타,떡볶이
684,,기타,쌀국수면
685,,기타,콩국물
686,,해산물 및 해조류,아귀
687,,기타,생면
688,,채소,나물
689,,해산물 및 해조류,우럭
690,,채소,무생채
691,,해산물 및 해조류,오만둥이
692,,기타,낫또
693,,기타,통밀식빵
694,,해산물 및 해조류,꽁치
695,,기타,천연가루
696,,육류,치킨텐더
697,,유제품,슈레드치즈
698,,기타,냉면
699,,육류,갈비
700,,과일,건과일
701,,채소,호박고지
702,,콩류 및 견과류,아마씨
703,,기타,깔루아
704,,기타,국수면
705,,과일,석류
706,,기타,펜네
707,,해산물 및 해조류,병어
708,,채소,엄나무
709,,채소,곰취
710,,해산물 및 해조류,꼬시래기
711,,절임 및 장아찌,갈치속젓
712,,조미료 및 향신료,타르타르소스
713,,유제품,고다치즈
714,,절임 및 장아찌,고추장아찌
715,,기타,배음료
716,,조미료 및 향신료,트러플오일
717,,해산물 및 해조류,전어
718,,채소,백만송이버섯
719,,콩류 및 견과류,햄프씨드
720,,조미료 및 향신료,산초가루
721,,채소,명엽채
722,,채소,엄나무순
723,,기타,춘권피
724,,채소,곤드레나물
725,,기타,단촛물
726,,기타,장조림
727,,기타,광어
728,,기타,완두배기
729,,콩류 및 견과류,백태
730,,기타,호밀가루
731,,기타,멸치볶음
732,,유제품,고르곤졸라치즈
733,,채소,공심채
734,,해산물 및 해조류,과메기
735,,채소,참타리버섯
736,,해산물 및 해조류,밴댕이
737,,콩류 및 견과류,메주콩
738,,기타,수제비
739,,채소,홍갓
740,,조미료 및 향신료,사과청
741,,채소,백합
742,,과일,청귤
743,,기타,마늘즙
744,,기타,마시멜로
745,,과일,한라봉
746,,조미료 및 향신료,함초소금
747,,해산물 및 해조류,생선
748,,기타,후르츠칵테일
749,,해산물 및 해조류,도루묵
750,,콩류 및 견과류,통들깨
751,,채소,머쉬마루 버섯
752,,채소,미니양배추
